Sample,Strategy,wt_spike_count,m2_spike_count,m6_spike_count
TM6-1,Hisat2_mapping,10289,5593,17153
TM6-1,Grep_full-length,8159,5315,16272
TM6-1,Grep_with_isoforms,10766,5608,17137
TM6-3,Hisat2_mapping,16866,22844,38792
TM6-3,Grep_full-length,14872,22315,37795
TM6-3,Grep_with_isoforms,18156,22968,38906
m2-1,Hisat2_mapping,6933,5333,11359
m2-1,Grep_full-length,6227,5141,10897
m2-1,Grep_with_isoforms,7480,5317,11346
m2-3,Hisat2_mapping,2559,1944,4078
m2-3,Grep_full-length,2468,1883,3940
m2-3,Grep_with_isoforms,2884,1950,4104
m6-1,Hisat2_mapping,7295,5467,11557
m6-1,Grep_full-length,5110,5314,11217
m6-1,Grep_with_isoforms,7558,5467,11597
m6-2,Hisat2_mapping,6902,2777,7778
m6-2,Grep_full-length,4867,2337,6223
m6-2,Grep_with_isoforms,7279,2782,7793
m6-3,Hisat2_mapping,3267,2294,5345
m6-3,Grep_full-length,2083,2254,5219
m6-3,Grep_with_isoforms,3567,2311,5363
md-1,Hisat2_mapping,4968,4205,7508
md-1,Grep_full-length,4718,4003,7152
md-1,Grep_with_isoforms,5162,4188,7507
md-2,Hisat2_mapping,11399,4001,11158
md-2,Grep_full-length,6437,3473,9197
md-2,Grep_with_isoforms,11914,4025,11173
md-3,Hisat2_mapping,7471,2140,8528
md-3,Grep_full-length,7158,2065,8256
md-3,Grep_with_isoforms,7872,2155,8538
