Sample wt_bantam m2_bantam m6_bantam wt_bantamstar m2_bantamstar m6_bantamstar wt_spike m2_spike m6_spike
TM6-1 23062 3 95 1481 1 7 8303 5514 16879
TM6-3 21464 7 77 1787 1 20 15144 22681 38522
m2-1 6366 824 74 801 145 14 6331 5302 11268
m2-3 3714 100 83 175 81 14 2517 1928 4012
m6-1 6450 2 15668 398 1 2493 5201 5427 11468
m6-2 5882 0 7179 384 0 1944 5523 2751 7736
m6-3 3029 2 11787 154 0 1272 2114 2286 5295
md-1 3349 2 81 216 0 6 4844 4159 7434
md-2 6590 2 69 512 0 12 7659 3968 11102
md-3 6541 1 75 249 0 12 7254 2122 8446
